,features,Aggressive_label importance,Attractive_label importance,Confident_label importance,Intelligent_label importance,Masculine_label importance,Trust_label importance
1,WorkTimeInSeconds,1.0,1.0,1.0,1.0,1.0,1.0
4,Answer.ProfileYear,0.4123775415871233,0.40213945847514526,0.21703229208084085,0.2621011572744263,0.3349647873888011,0.34623193556176857
2,Answer.ProfileEducation,0.26682733162695926,0.25661440469804814,0.22637047529919116,0.22562475600077864,0.1945513498809297,0.2401170746395951
6,Age_Log,0.22408259024281962,0.191431625247813,0.18358809639627754,0.1548292389295518,0.11675091215689486,0.18940472221637522
5,Age,0.2495517873923008,0.19976365348044717,0.11741256201626434,0.11724456414502357,0.1679119886503897,0.18349736440686684
3,Answer.ProfileIncome,0.2636406650761273,0.2904741786137675,0.1711652807047194,0.2774218862575442,0.2681557189941614,0.15315589656496556
140,onset_strength_var,0.1762711044919923,0.12316274827695645,0.19668606279784345,0.12105051962171258,0.08442794973279825,0.11360351005305572
143,Pitch_0,0.17118655880036507,0.1319938409501693,0.20464049012948243,0.11227707549792901,0.13642258195442025,0.10203563664316705
144,Pitch_1,0.16993329439076124,0.11783617967795046,0.24978945954317264,0.10548054111896077,0.10600684159371945,0.10123357983962829
153,Pitch_10,0.23988045486144932,0.1281809592443286,0.13964960349293418,0.08460189839379989,0.16678875452056086,0.087445120271086
139,onset_strength_mean,0.19817637965566237,0.11960708667690068,0.33731417779864037,0.11857572119806065,0.11802971975423925,0.08620867915894434
154,Pitch_11,0.10031869078918776,0.15008705961523125,0.2132775641983553,0.11936876204226902,0.16611489266501953,0.0842487521698767
148,Pitch_5,0.1138459626534895,0.14260776756253055,0.1518316461623346,0.07540178412327538,0.06149283744428461,0.07715517654214435
147,Pitch_4,0.20376923591688936,0.10139415365462592,0.19707540164674484,0.04743619359279852,0.0769178348523661,0.07708575374981386
138,onset_strength_max,0.18015837810143392,0.10496051958902772,0.23665928529699803,0.04402245904880495,0.15996445049258853,0.0723764478819401
150,Pitch_7,0.15518159107181465,0.06317027090309311,0.1516522263940185,0.10127212497612802,0.09178999207164003,0.07156349214478083
104,F3.AH0_Norm,0.03419217192994236,0.10503359944982506,0.07012418561076761,0.03750755205846636,0.05725243672715742,0.06777499241127893
0,AssignmentDurationInSeconds,0.052846989162670506,0.08560208239668762,0.05276294102139196,0.048219927002688096,0.02560759577319382,0.06702257579346467
52,Pennsylvania,0.07411164905703332,0.05102858923811697,0.0410709850741504,0.03812634571951509,0.02842482144697201,0.06576302692901734
47,New York,0.11057704690799706,0.0669148094212393,0.08569319136830246,0.04579566811534815,0.03817137062555582,0.06394175955642697
96,H1H2,0.11966846755682042,0.07480394830365955,0.11993740986598651,0.045654860847330975,0.059436478177407,0.06056583409861177
112,F2.ER0_Norm,0.10333722051046249,0.09266101341526661,0.14267917748765346,0.04171099150625108,0.0839668270531954,0.0578503851797145
72,F2.AO1,0.11055798147700543,0.09121799198379323,0.11281580982832734,0.03326704280600783,0.0985565927966046,0.0567408350221245
149,Pitch_6,0.11556926687509891,0.10446296366354675,0.21930925686685177,0.06560889305656999,0.07523331499583372,0.056279585664488985
77,F1.EY1,0.12273432181284159,0.07799887910485648,0.14192010715008863,0.03426719946946013,0.13600100294037704,0.05598069088845935
118,F2.IH1_Norm,0.10368620442787206,0.0504073346816704,0.06596807358072856,0.0456729482918479,0.054062711648169226,0.054751388732997425
11,Asian,0.07689309769663726,0.040625437667953054,0.03921974128754114,0.03711196101496468,0.02821231595449872,0.05384307332002588
