,-5.000,-4.000,-3.000,-2.000,-1.000,0.000,1.000,2.000,3.000,4.000
aggressive,0.529985,0.552335,0.566674,0.570526,0.570525,0.568584,0.567345,0.567393,0.566690,0.566666
attractive,0.521770,0.559971,0.573272,0.583817,0.584045,0.579776,0.579068,0.579096,0.578369,0.578150
Confident,0.548547,0.572656,0.583860,0.590296,0.594218,0.591212,0.590630,0.590946,0.590971,0.590556
Intelligent,0.529119,0.546241,0.549771,0.552719,0.553670,0.553691,0.552695,0.552697,0.552624,0.552284
Masculine,0.742317,0.749329,0.751009,0.754348,0.752368,0.750714,0.750494,0.750543,0.750811,0.750739
Trust,0.506994,0.534007,0.543248,0.545846,0.547777,0.548038,0.547869,0.547699,0.546659,0.546513
